prethermal_autocorrelators,mbl_autocorrelators,energies_mbl,energies_prethermal
0.121741627,0.389368515,-0.28416949,0.3
0.119671097,0.367502814,-0.486434434,0.3
0.145605512,0.401436443,-0.008022888,-0.5
0.12040341,0.362211337,-0.00805917,0.5
0.132902915,0.367841688,0.467252201,-0.7
0.127696588,0.389713207,0.194865674,-0.1
0.12051181,0.402209203,-1.106546439,0.5
0.13124537,0.373713349,-0.291482469,-0.5
0.16723167,0.418845778,-0.210879072,-0.5
0.143421129,0.393344335,-0.12587495,0.1
0.136838526,0.387733652,0.414576734,-0.1
0.122198327,0.389141162,-0.03613534,0.3
0.145633267,0.370876063,0.938475477,-0.1
0.125908076,0.378272841,-0.254899154,-0.3
0.123357098,0.379971958,0.876844477,0.1
0.134567643,0.409662094,-1.045493888,0.3
0.17279873,0.416000741,-0.116700347,1.1
0.122317627,0.387406795,0.302841343,0.1
0.1250203,0.363155797,1.255381285,-0.1
0.14531294,0.383491584,0.377863786,-0.1
0.134369252,0.378086405,0.07872184,0.5
0.14059315,0.382983912,-0.585048065,-0.3
0.152501776,0.382855236,-0.213203347,-0.1
0.126207772,0.38666537,0.301060629,0.5
0.130917516,0.382996995,-0.789208285,0.7
0.157290036,0.401294845,0.627909942,-0.1
0.126581291,0.410371012,-0.801197567,0.1
0.122264698,0.381646015,-0.232099027,-0.3
0.162808589,0.389523634,-0.794293282,-0.5
0.135842807,0.374000007,0.693147912,-0.5
0.148228103,0.374771267,0.88844207,-0.5
0.14134738,0.399031436,0.25223575,0.7
0.163426834,0.390676032,0.292636338,0.1
0.119023019,0.374397495,0.578106169,-0.3
0.167591036,0.395607192,-0.211956211,-0.5
0.142987766,0.405823377,0.886117933,0.1
0.131736307,0.378248524,-0.426100954,-0.3
0.164477789,0.389622332,-0.411304868,-0.9
0.177955648,0.392589862,-0.896106875,1.3
0.130024446,0.38409515,0.919565813,-0.1
0.128675675,0.4035414,0.3221821,0.5
0.147211813,0.405183775,1.582184686,-0.5
0.13984825,0.397087694,0.128997438,0.7
0.132015578,0.387382765,-0.758599772,0.5
0.146447694,0.39587361,0.8686381,-0.3
0.122782209,0.394836803,1.022053827,0.1
0.131060004,0.385957648,-1.166391527,-0.5
0.189125869,0.376171916,0.351452905,-1.1
0.163410597,0.399154217,-0.520146796,1.3
0.129756424,0.393848591,-0.574789397,0.3
0.148751993,0.387877164,0.448972573,0.3
0.121822839,0.400324717,-0.111175828,0.5
0.172788897,0.413335974,-0.362585224,-0.5
0.158686904,0.378912687,0.356659461,-0.3
0.128280333,0.372549019,-0.037048401,0.1
0.132685188,0.394534287,0.495384112,-0.1
0.145814863,0.408734475,-0.880374331,-0.1
0.118645025,0.413719981,-1.131134981,0.3
0.124661599,0.375074912,0.542870857,-0.5
0.134821206,0.402899063,0.711982407,0.5
0.167887169,0.416593989,-0.511664551,-0.7
0.143370008,0.387423051,0.899865438,-0.1
0.139303292,0.374288755,0.545534261,-0.9
0.129363456,0.379118457,0.201745298,-0.5
0.130351801,0.387865258,-1.42804878,0.1
0.127407941,0.381902304,-0.211229212,-0.3
0.16893872,0.422634088,0.803335358,-0.1
0.118389906,0.410315341,0.246844668,0.3
0.119794877,0.38034186,0.31669806,0.3
0.147202692,0.387531843,-0.105734902,0.3
0.136434487,0.388897825,1.154767162,-0.5
0.134494526,0.390743849,0.417102419,0.3
0.127821227,0.396423947,-0.612548609,0.3
0.125365179,0.396297038,0.072432505,-0.1
0.140316459,0.399758,1.427781589,-0.3
0.133359797,0.406377725,0.310658252,0.7
0.142147492,0.39784223,1.023111801,-0.1
0.138832737,0.404127939,-0.212297577,-0.3
0.123308185,0.406689095,0.892312368,0.3
0.136471666,0.37850161,0.916250102,-0.5
0.157378447,0.414161041,-0.938958375,0.1
0.142660316,0.402954653,-1.106464728,0.9
0.131841633,0.366941182,-1.05993146,-0.3
0.134688419,0.373388312,0.168863455,-0.3
0.137058698,0.402759826,-1.004987369,0.5
0.132631443,0.389540811,0.926648279,0.1
0.117694445,0.379253489,1.4104989,-0.1
0.157743768,0.40063719,-0.301160414,0.5
0.160570706,0.414797322,-0.757693907,1.1
